name;type_en;gn_name;persons_2011;persons_2016;males_2016;females_2016;changes_actual;changes_percentage;
Waterford;County;Waterford;67 063;68 032;33 929;34 103;969;1,4;
Monaghan;Administrative County;County Monaghan;60 483;61 273;30 829;30 444;790;1,3;
Galway;City;Galway City;75 529;79 504;38 207;41 297;3 975;5,3;
Cork;City;Cork City;119 230;125 622;61 677;63 945;6 392;5,4;
Limerick;City;Limerick City;57 106;58 319;28 639;29 680;1 213;2,1;
Waterford;City;Waterford City;46 732;48 369;23 850;24 519;1 637;3,5;
South Tipperary;County;Tipperary South Riding;88 432;89 071;44 595;44 476;639;0,7;
South Dublin;County;South Dublin;265 205;278 749;136 275;142 474;13 544;5,1;
Fingal;County;Fingal County;273 991;296 214;145 209;151 005;22 223;8,1;
Dublin;County;Dublin City;527 612;553 165;271 436;281 729;25 553;4,8;
Dún LaoghaireRathdown;County;Dun Laoghaire-Rathdown;206 261;217 274;104 270;113 004;11 013;5,3;
Louth;County;Lu;122 897;128 375;63 454;64 921;5 478;4,5;
Galway;County;County Galway;175 124;179 048;89 612;89 436;3 924;2,2;
Mayo;County;Maigh Eo;130 638;130 425;64 879;65 546;-213;-0,2;
Meath;County;An Mhi;184 135;194 942;96 714;98 228;10 807;5,9;
Offaly;County;Uibh Fhaili;76 687;78 003;38 896;39 107;1 316;1,7;
Westmeath;County;An Iarmhi;86 164;88 396;43 897;44 499;2 232;2,6;
Wexford;County;Loch Garman;145 320;149 605;73 632;75 973;4 285;2,9;
Wicklow;County;Wicklow;136 640;142 332;70 136;72 196;5 692;4,2;
Kildare;County;Kildare;210 312;222 130;110 340;111 790;11 818;5,6;
Kilkenny;County;Kilkenny;95 419;99 118;49 479;49 639;3 699;3,9;
Laoighis;County;Laois;80 559;84 732;42 808;41 924;4 173;5,2;
North Tipperary;County;Tipperary North Riding;70 322;71 370;35 583;35 787;1 048;1,5;
Kerry;County;Ciarrai;145 502;147 554;73 039;74 515;2 052;1,4;
Limerick;County;County Limerick;134 703;136 856;68 738;68 118;2 153;1,6;
Roscommon;County;Roscommon;64 065;64 436;32 316;32 120;371;0,6;
Sligo;County;Sligo;65 393;65 357;32 304;33 053;-36;-0,1;
Donegal;County;County Donegal;161 137;158 755;78 858;79 897;-2 382;-1,5;
Leitrim;County;County Leitrim;31 798;31 972;16 032;15 940;174;0,5;
Longford;County;An Longfort;39 000;40 810;20 515;20 295;1 810;4,6;
Clare;County;An Clar;117 196;118 627;58 721;59 906;1 431;1,2;
Carlow;County;County Carlow;54 612;56 875;28 472;28 403;2 263;4,1;
Cork;County;County Cork;399 802;416 574;206 544;210 030;16 772;4,2;
Cavan;County;An Cabhan;73 183;76 092;38 355;37 737;2 909;4,0;
